iter	Accuracy_SumError	Accuracy_SumWeight
0	448	1378
1	440	1378
2	444	1378
3	444	1378
4	449	1378
5	447	1378
6	444	1378
7	444	1378
8	446	1378
9	449	1378
10	450	1378
11	449	1378
12	446	1378
13	454	1378
14	452	1378
15	452	1378
16	449	1378
17	451	1378
18	449	1378
19	450	1378
20	452	1378
21	452	1378
22	459	1378
23	456	1378
24	456	1378
25	455	1378
26	454	1378
27	456	1378
28	455	1378
29	457	1378
30	458	1378
31	456	1378
32	458	1378
33	460	1378
34	460	1378
35	460	1378
36	463	1378
37	461	1378
38	460	1378
39	458	1378
40	460	1378
41	459	1378
42	460	1378
43	462	1378
44	461	1378
45	461	1378
46	463	1378
47	461	1378
48	463	1378
49	457	1378
50	454	1378
51	451	1378
52	452	1378
53	452	1378
54	450	1378
55	453	1378
56	450	1378
57	452	1378
58	453	1378
59	452	1378
60	454	1378
61	453	1378
62	451	1378
63	453	1378
64	451	1378
65	452	1378
66	453	1378
67	453	1378
68	450	1378
69	451	1378
70	451	1378
71	449	1378
72	452	1378
73	453	1378
74	452	1378
75	453	1378
76	455	1378
77	454	1378
78	456	1378
79	455	1378
80	456	1378
81	454	1378
82	449	1378
83	451	1378
84	452	1378
85	451	1378
86	450	1378
87	453	1378
88	451	1378
89	451	1378
90	452	1378
91	453	1378
92	453	1378
93	452	1378
94	453	1378
95	454	1378
96	453	1378
97	455	1378
98	455	1378
99	455	1378
100	455	1378
101	454	1378
102	454	1378
103	456	1378
104	453	1378
105	450	1378
106	453	1378
107	451	1378
108	450	1378
109	449	1378
110	451	1378
111	449	1378
112	448	1378
113	448	1378
114	448	1378
115	449	1378
116	448	1378
117	449	1378
118	449	1378
119	451	1378
120	450	1378
121	451	1378
122	449	1378
123	449	1378
124	449	1378
125	445	1378
126	444	1378
127	445	1378
128	444	1378
129	445	1378
